method;N;M;threads;chunkSize;Executing time;
Static;210;210;1;41;0.0388934;
Static;210;210;1;51;0.0390499;
Static;210;210;1;61;0.0390883;
Static;210;210;1;71;0.039468;
Static;210;210;1;81;0.0390467;
Static;210;210;1;91;0.0388063;
Static;210;210;1;101;0.0388502;
Static;210;210;1;111;0.0389202;
Static;210;210;1;121;0.0388698;
Static;210;210;1;131;0.0389229;
Static;210;210;1;141;0.0389369;
Static;210;210;1;151;0.038903;
Static;210;210;1;161;0.0388686;
Static;210;210;1;171;0.0388429;
Static;210;210;1;181;0.0389149;
Static;210;210;1;191;0.0386382;
Static;210;210;1;201;0.0395372;
Static;210;210;2;1;0.0200075;
Static;210;210;2;11;0.0206064;
Static;210;210;2;21;0.0197829;
Static;210;210;2;31;0.0220802;
Static;210;210;2;41;0.0232313;
Static;210;210;2;51;0.0211963;
Static;210;210;2;61;0.0236452;
Static;210;210;2;71;0.0269415;
Static;210;210;2;81;0.0250005;
Static;210;210;2;91;0.0230381;
Static;210;210;2;101;0.0209874;
Static;210;210;2;111;0.0216202;
Static;210;210;2;121;0.0235898;
Static;210;210;2;131;0.0252133;
Static;210;210;2;141;0.0275102;
Static;210;210;2;151;0.0292695;
Static;210;210;2;161;0.0307351;
Static;210;210;2;171;0.033145;
Static;210;210;2;181;0.0349187;
Static;210;210;2;191;0.0371756;
Static;210;210;2;201;0.0386406;
Static;210;210;3;1;0.0135983;
Static;210;210;3;11;0.0151037;
Static;210;210;3;21;0.0164362;
Static;210;210;3;31;0.01688;
Static;210;210;3;41;0.0161351;
Static;210;210;3;51;0.0203444;
Static;210;210;3;61;0.0172501;
Static;210;210;3;71;0.0135396;
Static;210;210;3;81;0.0155187;
Static;210;210;3;91;0.0175815;
Static;210;210;3;101;0.0196806;
Static;210;210;3;111;0.0213576;
Static;210;210;3;121;0.0233512;
Static;210;210;3;131;0.0251829;
Static;210;210;3;141;0.028237;
Static;210;210;3;151;0.0297222;
Static;210;210;3;161;0.0313803;
Static;210;210;3;171;0.0330274;
Static;210;210;3;181;0.0350514;
Static;210;210;3;191;0.0354542;
Static;210;210;3;201;0.0370551;
Static;210;210;4;1;0.0100755;
Static;210;210;4;11;0.0107375;
Static;210;210;4;21;0.0116587;
Static;210;210;4;31;0.0114703;
Static;210;210;4;41;0.0154023;
Static;210;210;4;51;0.0111989;
Static;210;210;4;61;0.0118934;
Static;210;210;4;71;0.0140371;
Static;210;210;4;81;0.0159429;
Static;210;210;4;91;0.0178561;
Static;210;210;4;101;0.0198377;
Static;210;210;4;111;0.0217271;
Static;210;210;4;121;0.0233076;
Static;210;210;4;131;0.0254544;
Static;210;210;4;141;0.027212;
Static;210;210;4;151;0.0287845;
Static;210;210;4;161;0.0311013;
Static;210;210;4;171;0.0332089;
Static;210;210;4;181;0.0334576;
Static;210;210;4;191;0.0370571;
Static;210;210;4;201;0.0391587;
Static;210;210;5;1;0.00901491;
Static;210;210;5;11;0.00848797;
Static;210;210;5;21;0.00928478;
Static;210;210;5;31;0.0120192;
Static;210;210;5;41;0.0090693;
Static;210;210;5;51;0.0097993;
Static;210;210;5;61;0.0119068;
Static;210;210;5;71;0.0138593;
Static;210;210;5;81;0.0158329;
Static;210;210;5;91;0.0178555;
Static;210;210;5;101;0.0199525;
Static;210;210;5;111;0.0218327;
Static;210;210;5;121;0.0237868;
Static;210;210;5;131;0.0256379;
Static;210;210;5;141;0.0274324;
Static;210;210;5;151;0.0293835;
Static;210;210;5;161;0.031381;
Static;210;210;5;171;0.0329883;
Static;210;210;5;181;0.034964;
Static;210;210;5;191;0.0368121;
Static;210;210;5;201;0.0402298;
Static;210;210;6;1;0.00725349;
Static;210;210;6;11;0.00842902;
Static;210;210;6;21;0.00780668;
Static;210;210;6;31;0.0102137;
Static;210;210;6;41;0.00771719;
Static;210;210;6;51;0.00964892;
Static;210;210;6;61;0.0114345;
Static;210;210;6;71;0.0171561;
Static;210;210;6;81;0.0152277;
Static;210;210;6;91;0.0171916;
Static;210;210;6;101;0.0189907;
Static;210;210;6;111;0.0206292;
Static;210;210;6;121;0.0226344;
Static;210;210;6;131;0.0244387;
Static;210;210;6;141;0.0277393;
Static;210;210;6;151;0.0296593;
Static;210;210;6;161;0.0313398;
Static;210;210;6;171;0.0317607;
Static;210;210;6;181;0.0353651;
Static;210;210;6;191;0.0371716;
Static;210;210;6;201;0.0387521;
Static;210;210;7;1;0.00614296;
Static;210;210;7;11;0.00622661;
Static;210;210;7;21;0.00791141;
Static;210;210;7;31;0.0062294;
Static;210;210;7;41;0.00799282;
Static;210;210;7;51;0.0100916;
Static;210;210;7;61;0.0119523;
Static;210;210;7;71;0.013345;
Static;210;210;7;81;0.0155366;
Static;210;210;7;91;0.0180003;
Static;210;210;7;101;0.0201215;
Static;210;210;7;111;0.0210822;
Static;210;210;7;121;0.02287;
Static;210;210;7;131;0.0256522;
Static;210;210;7;141;0.02747;
Static;210;210;7;151;0.029647;
Static;210;210;7;161;0.031552;
Static;210;210;7;171;0.032982;
Static;210;210;7;181;0.0348258;
Static;210;210;7;191;0.0371807;
Static;210;210;7;201;0.0374908;
Static;210;210;8;1;0.00629485;
Static;210;210;8;11;0.0101333;
Static;210;210;8;21;0.0110096;
Static;210;210;8;31;0.0109739;
Static;210;210;8;41;0.00830951;
Static;210;210;8;51;0.0100185;
Static;210;210;8;61;0.0191769;
Static;210;210;8;71;0.0151063;
Static;210;210;8;81;0.0173112;
Static;210;210;8;91;0.0181399;
Static;210;210;8;101;0.0193772;
Static;210;210;8;111;0.0211198;
Static;210;210;8;121;0.0228092;
Static;210;210;8;131;0.0346122;
Static;210;210;8;141;0.0269645;
Static;210;210;8;151;0.0294563;
Static;210;210;8;161;0.030847;
Static;210;210;8;171;0.0332155;
Static;210;210;8;181;0.0351693;
Static;210;210;8;191;0.0370928;
Static;210;210;8;201;0.0389314;
Static;220;220;1;1;0.0534625;
Static;220;220;1;11;0.0506469;
Static;220;220;1;21;0.0510907;
Static;220;220;1;31;0.0506081;
Static;220;220;1;41;0.0497444;
Static;220;220;1;51;0.0492702;
Static;220;220;1;61;0.0536946;
Static;220;220;1;71;0.049664;
Static;220;220;1;81;0.0509689;
Static;220;220;1;91;0.0509941;
Static;220;220;1;101;0.0508373;
Static;220;220;1;111;0.0493481;
Static;220;220;1;121;0.0508531;
Static;220;220;1;131;0.0496777;
Static;220;220;1;141;0.0502165;
Static;220;220;1;151;0.0502588;
Static;220;220;1;161;0.0509673;
Static;220;220;1;171;0.0512288;
Static;220;220;1;181;0.0502768;
Static;220;220;1;191;0.0475098;
Static;220;220;1;201;0.0505193;
Static;220;220;1;211;0.0531463;
Static;220;220;2;1;0.0255281;
Static;220;220;2;11;0.0236193;
Static;220;220;2;21;0.0233198;
Static;220;220;2;31;0.0262305;
Static;220;220;2;41;0.0273076;
Static;220;220;2;51;0.0268911;
Static;220;220;2;61;0.0286819;
Static;220;220;2;71;0.0325487;
Static;220;220;2;81;0.0321354;
Static;220;220;2;91;0.0282163;
Static;220;220;2;101;0.0262807;
Static;220;220;2;111;0.0246197;
Static;220;220;2;121;0.0270965;
Static;220;220;2;131;0.0301227;
Static;220;220;2;141;0.0330837;
Static;220;220;2;151;0.0343751;
Static;220;220;2;161;0.0347251;
Static;220;220;2;171;0.0394474;
Static;220;220;2;181;0.0415532;
Static;220;220;2;191;0.0426879;
Static;220;220;2;201;0.0438113;
Static;220;220;2;211;0.0475189;
Static;220;220;3;1;0.0181539;
Static;220;220;3;11;0.0182988;
Static;220;220;3;21;0.01876;
Static;220;220;3;31;0.0195087;
Static;220;220;3;41;0.0186724;
Static;220;220;3;51;0.0229608;
Static;220;220;3;61;0.0226728;
Static;220;220;3;71;0.0174673;
Static;220;220;3;81;0.018589;
Static;220;220;3;91;0.0203173;
Static;220;220;3;101;0.0215848;
Static;220;220;3;111;0.0239208;
Static;220;220;3;121;0.0268822;
Static;220;220;3;131;0.027494;
Static;220;220;3;141;0.0311628;
Static;220;220;3;151;0.0358038;
Static;220;220;3;161;0.0390964;
Static;220;220;3;171;0.038783;
Static;220;220;3;181;0.0408195;
Static;220;220;3;191;0.0425545;
Static;220;220;3;201;0.0446643;
Static;220;220;3;211;0.050622;
Static;220;220;4;1;0.0137323;
Static;220;220;4;11;0.0123075;
Static;220;220;4;21;0.0133997;
Static;220;220;4;31;0.0134437;
Static;220;220;4;41;0.0194051;
Static;220;220;4;51;0.0151066;
Static;220;220;4;61;0.0133422;
Static;220;220;4;71;0.0156497;
Static;220;220;4;81;0.0183775;
Static;220;220;4;91;0.0222932;
Static;220;220;4;101;0.0243655;
Static;220;220;4;111;0.0269473;
Static;220;220;4;121;0.029652;
Static;220;220;4;131;0.0314522;
Static;220;220;4;141;0.0350496;
Static;220;220;4;151;0.035347;
Static;220;220;4;161;0.0396538;
Static;220;220;4;171;0.0400428;
Static;220;220;4;181;0.0424666;
Static;220;220;4;191;0.0416792;
Static;220;220;4;201;0.0479717;
Static;220;220;4;211;0.0507992;
Static;220;220;5;1;0.00931028;
Static;220;220;5;11;0.00944316;
Static;220;220;5;21;0.0142975;
Static;220;220;5;31;0.0133722;
Static;220;220;5;41;0.0123866;
Static;220;220;5;51;0.0111528;
Static;220;220;5;61;0.0137249;
Static;220;220;5;71;0.0165133;
Static;220;220;5;81;0.019244;
Static;220;220;5;91;0.0206122;
Static;220;220;5;101;0.0250004;
Static;220;220;5;111;0.025703;
Static;220;220;5;121;0.0281159;
Static;220;220;5;131;0.0293832;
Static;220;220;5;141;0.0342454;
Static;220;220;5;151;0.0359418;
Static;220;220;5;161;0.0356752;
Static;220;220;5;171;0.0401625;
Static;220;220;5;181;0.0434667;
Static;220;220;5;191;0.045901;
Static;220;220;5;201;0.045146;
Static;220;220;5;211;0.0456473;
Static;220;220;6;1;0.015147;
Static;220;220;6;11;0.00951483;
Static;220;220;6;21;0.00875529;
Static;220;220;6;31;0.0138879;
Static;220;220;6;41;0.00908854;
Static;220;220;6;51;0.0124519;
Static;220;220;6;61;0.0135133;
Static;220;220;6;71;0.0161609;
Static;220;220;6;81;0.0188648;
Static;220;220;6;91;0.0215522;
Static;220;220;6;101;0.0246381;
Static;220;220;6;111;0.0260247;
Static;220;220;6;121;0.0288828;
Static;220;220;6;131;0.0303459;
Static;220;220;6;141;0.0347712;
Static;220;220;6;151;0.0353922;
Static;220;220;6;161;0.0383336;
Static;220;220;6;171;0.0385923;
Static;220;220;6;181;0.0421696;
Static;220;220;6;191;0.0453092;
Static;220;220;6;201;0.0486953;
Static;220;220;6;211;0.0522568;
Static;220;220;7;1;0.0109794;
Static;220;220;7;11;0.00731723;
Static;220;220;7;21;0.00897692;
Static;220;220;7;31;0.00712156;
Static;220;220;7;41;0.00931248;
Static;220;220;7;51;0.0117217;
Static;220;220;7;61;0.013881;
Static;220;220;7;71;0.0232869;
Static;220;220;7;81;0.0195236;
Static;220;220;7;91;0.0218915;
Static;220;220;7;101;0.0248174;
Static;220;220;7;111;0.0269145;
Static;220;220;7;121;0.0281186;
Static;220;220;7;131;0.0313741;
Static;220;220;7;141;0.0329891;
Static;220;220;7;151;0.0340573;
Static;220;220;7;161;0.0357864;
Static;220;220;7;171;0.0406102;
Static;220;220;7;181;0.0416895;
Static;220;220;7;191;0.039902;
Static;220;220;7;201;0.0471011;
Static;220;220;7;211;0.046708;
Static;220;220;8;1;0.00623673;
Static;220;220;8;11;0.00978264;
Static;220;220;8;21;0.0104539;
Static;220;220;8;31;0.0120504;
Static;220;220;8;41;0.00902058;
Static;220;220;8;51;0.0123056;
Static;220;220;8;61;0.0151695;
Static;220;220;8;71;0.0172601;
Static;220;220;8;81;0.0189567;
Static;220;220;8;91;0.0234812;
Static;220;220;8;101;0.023283;
Static;220;220;8;111;0.0255804;
Static;220;220;8;121;0.0266328;
Static;220;220;8;131;0.0306261;
Static;220;220;8;141;0.0336373;
Static;220;220;8;151;0.0370677;
Static;220;220;8;161;0.0377127;
Static;220;220;8;171;0.0386288;
Static;220;220;8;181;0.043083;
Static;220;220;8;191;0.0489223;
Static;220;220;8;201;0.0475049;
Static;220;220;8;211;0.0464395;
Static;230;230;1;1;0.0532978;
Static;230;230;1;11;0.0532571;
Static;230;230;1;21;0.0529656;
Static;230;230;1;31;0.0515471;
Static;230;230;1;41;0.0512465;
Static;230;230;1;51;0.0527731;
Static;230;230;1;61;0.0509605;
Static;230;230;1;71;0.05102;
Static;230;230;1;81;0.0510496;
Static;230;230;1;91;0.0510943;
Static;230;230;1;101;0.0510518;
Static;230;230;1;111;0.0510346;
Static;230;230;1;121;0.0510418;
Static;230;230;1;131;0.0510777;
Static;230;230;1;141;0.051058;
Static;230;230;1;151;0.0509988;
Static;230;230;1;161;0.0511344;
Static;230;230;1;171;0.0510127;
Static;230;230;1;181;0.0512429;
Static;230;230;1;191;0.0510906;
Static;230;230;1;201;0.0510474;
Static;230;230;1;211;0.050964;
Static;230;230;1;221;0.0511393;
Static;230;230;2;1;0.0290982;
Static;230;230;2;11;0.0265155;
Static;230;230;2;21;0.0277695;
Static;230;230;2;31;0.0274394;
Static;230;230;2;41;0.0272206;
Static;230;230;2;51;0.0283996;
Static;230;230;2;61;0.0283156;
Static;230;230;2;71;0.0326722;
Static;230;230;2;81;0.0328864;
Static;230;230;2;91;0.0307237;
Static;230;230;2;101;0.0297835;
Static;230;230;2;111;0.0276341;
Static;230;230;2;121;0.0274329;
Static;230;230;2;131;0.03032;
Static;230;230;2;141;0.0326813;
Static;230;230;2;151;0.0347884;
Static;230;230;2;161;0.0375152;
Static;230;230;2;171;0.0399374;
Static;230;230;2;181;0.0426104;
Static;230;230;2;191;0.0431405;
Static;230;230;2;201;0.0446188;
Static;230;230;2;211;0.0468603;
Static;230;230;2;221;0.049275;
Static;230;230;3;1;0.0173341;
Static;230;230;3;11;0.0171503;
Static;230;230;3;21;0.0192559;
Static;230;230;3;31;0.0207274;
Static;230;230;3;41;0.0182216;
Static;230;230;3;51;0.022659;
Static;230;230;3;61;0.0257239;
Static;230;230;3;71;0.0207507;
Static;230;230;3;81;0.0189534;
Static;230;230;3;91;0.0210179;
Static;230;230;3;101;0.0235621;
Static;230;230;3;111;0.0266657;
Static;230;230;3;121;0.0269133;
Static;230;230;3;131;0.0291076;
Static;230;230;3;141;0.0328934;
Static;230;230;3;151;0.0344316;
Static;230;230;3;161;0.0375723;
Static;230;230;3;171;0.039965;
Static;230;230;3;181;0.0420795;
Static;230;230;3;191;0.0441245;
Static;230;230;3;201;0.0465968;
Static;230;230;3;211;0.0487636;
Static;230;230;3;221;0.051338;
Static;230;230;4;1;0.0138349;
Static;230;230;4;11;0.015105;
Static;230;230;4;21;0.0145673;
Static;230;230;4;31;0.0146942;
Static;230;230;4;41;0.0191547;
Static;230;230;4;51;0.0172305;
Static;230;230;4;61;0.016037;
Static;230;230;4;71;0.0165978;
Static;230;230;4;81;0.0183771;
Static;230;230;4;91;0.0202982;
Static;230;230;4;101;0.0238018;
Static;230;230;4;111;0.0264641;
Static;230;230;4;121;0.0273899;
Static;230;230;4;131;0.0292217;
Static;230;230;4;141;0.0329789;
Static;230;230;4;151;0.0354838;
Static;230;230;4;161;0.036616;
Static;230;230;4;171;0.0381016;
Static;230;230;4;181;0.0435464;
Static;230;230;4;191;0.0451983;
Static;230;230;4;201;0.0446981;
Static;230;230;4;211;0.0484796;
Static;230;230;4;221;0.0518313;
Static;230;230;5;1;0.0108985;
Static;230;230;5;11;0.0127191;
Static;230;230;5;21;0.0145543;
Static;230;230;5;31;0.0146395;
Static;230;230;5;41;0.0155005;
Static;230;230;5;51;0.012395;
Static;230;230;5;61;0.0146138;
Static;230;230;5;71;0.0159858;
Static;230;230;5;81;0.0194514;
Static;230;230;5;91;0.0218001;
Static;230;230;5;101;0.0239808;
Static;230;230;5;111;0.027163;
Static;230;230;5;121;0.0284317;
Static;230;230;5;131;0.0298324;
Static;230;230;5;141;0.031915;
Static;230;230;5;151;0.035362;
Static;230;230;5;161;0.0384357;
Static;230;230;5;171;0.0396416;
Static;230;230;5;181;0.0401889;
Static;230;230;5;191;0.044581;
Static;230;230;5;201;0.0467982;
Static;230;230;5;211;0.0487461;
Static;230;230;5;221;0.0514185;
Static;230;230;6;1;0.00942001;
Static;230;230;6;11;0.0103309;
Static;230;230;6;21;0.00970038;
Static;230;230;6;31;0.0139179;
Static;230;230;6;41;0.00955304;
Static;230;230;6;51;0.0116977;
Static;230;230;6;61;0.0142165;
Static;230;230;6;71;0.0162669;
Static;230;230;6;81;0.0192329;
Static;230;230;6;91;0.0218015;
Static;230;230;6;101;0.0241516;
Static;230;230;6;111;0.025981;
Static;230;230;6;121;0.0282296;
Static;230;230;6;131;0.0305842;
Static;230;230;6;141;0.0326298;
Static;230;230;6;151;0.0335556;
Static;230;230;6;161;0.035638;
Static;230;230;6;171;0.0486028;
Static;230;230;6;181;0.042308;
Static;230;230;6;191;0.0446855;
Static;230;230;6;201;0.0465025;
Static;230;230;6;211;0.0494217;
Static;230;230;6;221;0.0490704;
Static;230;230;7;1;0.00787063;
Static;230;230;7;11;0.00811138;
Static;230;230;7;21;0.00940607;
Static;230;230;7;31;0.0101175;
Static;230;230;7;41;0.00955776;
Static;230;230;7;51;0.0119208;
Static;230;230;7;61;0.0146844;
Static;230;230;7;71;0.0172168;
Static;230;230;7;81;0.0193401;
Static;230;230;7;91;0.0217431;
Static;230;230;7;101;0.0242243;
Static;230;230;7;111;0.0257496;
Static;230;230;7;121;0.0281692;
Static;230;230;7;131;0.030539;
Static;230;230;7;141;0.032964;
Static;230;230;7;151;0.0353712;
Static;230;230;7;161;0.0378142;
Static;230;230;7;171;0.0381507;
Static;230;230;7;181;0.0423661;
Static;230;230;7;191;0.0432924;
Static;230;230;7;201;0.0468202;
Static;230;230;7;211;0.0469712;
Static;230;230;7;221;0.0522284;
Static;230;230;8;1;0.0121052;
Static;230;230;8;11;0.011932;
Static;230;230;8;21;0.0142881;
Static;230;230;8;31;0.0131678;
Static;230;230;8;41;0.0175808;
Static;230;230;8;51;0.0129771;
Static;230;230;8;61;0.0138804;
Static;230;230;8;71;0.0165135;
Static;230;230;8;81;0.0191918;
Static;230;230;8;91;0.0286171;
Static;230;230;8;101;0.024159;
Static;230;230;8;111;0.0260143;
Static;230;230;8;121;0.029115;
Static;230;230;8;131;0.031835;
Static;230;230;8;141;0.0329871;
Static;230;230;8;151;0.0361501;
Static;230;230;8;161;0.0378836;
Static;230;230;8;171;0.0400171;
Static;230;230;8;181;0.0418515;
Static;230;230;8;191;0.0426952;
Static;230;230;8;201;0.0461777;
Static;230;230;8;211;0.0495047;
Static;230;230;8;221;0.0490689;
Static;240;240;1;1;0.0580163;
Static;240;240;1;11;0.0593511;
Static;240;240;1;21;0.057659;
Static;240;240;1;31;0.0580479;
Static;240;240;1;41;0.0579516;
Static;240;240;1;51;0.0579103;
Static;240;240;1;61;0.0579293;
Static;240;240;1;71;0.057919;
Static;240;240;1;81;0.0582059;
Static;240;240;1;91;0.0613166;
Static;240;240;1;101;0.0605758;
Static;240;240;1;111;0.0605407;
Static;240;240;1;121;0.0619922;
Static;240;240;1;131;0.0579503;
Static;240;240;1;141;0.0579698;
Static;240;240;1;151;0.05793;
Static;240;240;1;161;0.0578964;
Static;240;240;1;171;0.0577409;
Static;240;240;1;181;0.0576732;
Static;240;240;1;191;0.0576878;
Static;240;240;1;201;0.0578058;
Static;240;240;1;211;0.0577619;
Static;240;240;1;221;0.057715;
Static;240;240;1;231;0.0577567;
Static;240;240;2;1;0.0293677;
Static;240;240;2;11;0.0291071;
Static;240;240;2;21;0.0303768;
Static;240;240;2;31;0.0298688;
Static;240;240;2;41;0.0296308;
Static;240;240;2;51;0.0332953;
Static;240;240;2;61;0.0293382;
Static;240;240;2;71;0.034231;
Static;240;240;2;81;0.0384941;
Static;240;240;2;91;0.0365717;
Static;240;240;2;101;0.0335208;
Static;240;240;2;111;0.0311843;
Static;240;240;2;121;0.0291036;
Static;240;240;2;131;0.031764;
Static;240;240;2;141;0.0340631;
Static;240;240;2;151;0.0366502;
Static;240;240;2;161;0.0402229;
Static;240;240;2;171;0.0413454;
Static;240;240;2;181;0.0438528;
Static;240;240;2;191;0.0461613;
Static;240;240;2;201;0.0486525;
Static;240;240;2;211;0.053655;
Static;240;240;2;221;0.0556334;
Static;240;240;2;231;0.0585164;
Static;240;240;3;1;0.0202952;
Static;240;240;3;11;0.0218218;
Static;240;240;3;21;0.0214417;
Static;240;240;3;31;0.0238556;
Static;240;240;3;41;0.0217288;
Static;240;240;3;51;0.027356;
Static;240;240;3;61;0.0314004;
Static;240;240;3;71;0.024168;
Static;240;240;3;81;0.0311056;
Static;240;240;3;91;0.0293374;
Static;240;240;3;101;0.0250529;
Static;240;240;3;111;0.0275102;
Static;240;240;3;121;0.0299774;
Static;240;240;3;131;0.0319657;
Static;240;240;3;141;0.0385764;
Static;240;240;3;151;0.0404916;
Static;240;240;3;161;0.0411754;
Static;240;240;3;171;0.0436964;
Static;240;240;3;181;0.0457865;
Static;240;240;3;191;0.046007;
Static;240;240;3;201;0.048478;
Static;240;240;3;211;0.0507662;
Static;240;240;3;221;0.0571449;
Static;240;240;3;231;0.055993;
Static;240;240;4;1;0.0156538;
Static;240;240;4;11;0.0177999;
Static;240;240;4;21;0.0152553;
Static;240;240;4;31;0.0154041;
Static;240;240;4;41;0.0198547;
Static;240;240;4;51;0.0216936;
Static;240;240;4;61;0.0157799;
Static;240;240;4;71;0.0182303;
Static;240;240;4;81;0.0208744;
Static;240;240;4;91;0.022189;
Static;240;240;4;101;0.0264303;
Static;240;240;4;111;0.0280887;
Static;240;240;4;121;0.0306943;
Static;240;240;4;131;0.0332535;
Static;240;240;4;141;0.0345622;
Static;240;240;4;151;0.0368934;
Static;240;240;4;161;0.0421007;
Static;240;240;4;171;0.0433152;
Static;240;240;4;181;0.0461835;
Static;240;240;4;191;0.0486955;
Static;240;240;4;201;0.0565617;
Static;240;240;4;211;0.0512131;
Static;240;240;4;221;0.057983;
Static;240;240;4;231;0.0575761;
Static;240;240;5;1;0.0124916;
Static;240;240;5;11;0.0144718;
Static;240;240;5;21;0.0166843;
Static;240;240;5;31;0.016225;
Static;240;240;5;41;0.0199231;
Static;240;240;5;51;0.0132279;
Static;240;240;5;61;0.0252677;
Static;240;240;5;71;0.0182865;
Static;240;240;5;81;0.0210085;
Static;240;240;5;91;0.0235147;
Static;240;240;5;101;0.0247686;
Static;240;240;5;111;0.0268851;
Static;240;240;5;121;0.0293867;
Static;240;240;5;131;0.0316752;
Static;240;240;5;141;0.0339857;
Static;240;240;5;151;0.0386808;
Static;240;240;5;161;0.0391877;
Static;240;240;5;171;0.0438046;
Static;240;240;5;181;0.0457031;
Static;240;240;5;191;0.0484685;
Static;240;240;5;201;0.0492113;
Static;240;240;5;211;0.0542749;
Static;240;240;5;221;0.0579278;
Static;240;240;5;231;0.0588;
Static;240;240;6;1;0.0102309;
Static;240;240;6;11;0.0118142;
Static;240;240;6;21;0.011373;
Static;240;240;6;31;0.0150515;
Static;240;240;6;41;0.0143011;
Static;240;240;6;51;0.0143293;
Static;240;240;6;61;0.0154824;
Static;240;240;6;71;0.0184797;
Static;240;240;6;81;0.0206975;
Static;240;240;6;91;0.0235968;
Static;240;240;6;101;0.0258813;
Static;240;240;6;111;0.0284341;
Static;240;240;6;121;0.0312869;
Static;240;240;6;131;0.034906;
Static;240;240;6;141;0.0344487;
Static;240;240;6;151;0.0366994;
Static;240;240;6;161;0.0421308;
Static;240;240;6;171;0.0438088;
Static;240;240;6;181;0.0455599;
Static;240;240;6;191;0.0479486;
Static;240;240;6;201;0.0516656;
Static;240;240;6;211;0.0543763;
Static;240;240;6;221;0.0611367;
Static;240;240;6;231;0.0570865;
Static;240;240;7;1;0.00890505;
Static;240;240;7;11;0.0105221;
Static;240;240;7;21;0.0107746;
Static;240;240;7;31;0.0131739;
Static;240;240;7;41;0.0107368;
Static;240;240;7;51;0.0131779;
Static;240;240;7;61;0.0159594;
Static;240;240;7;71;0.0182989;
Static;240;240;7;81;0.0198893;
Static;240;240;7;91;0.0225362;
Static;240;240;7;101;0.0267853;
Static;240;240;7;111;0.0273092;
Static;240;240;7;121;0.0294942;
Static;240;240;7;131;0.0319561;
Static;240;240;7;141;0.0367855;
Static;240;240;7;151;0.036708;
Static;240;240;7;161;0.0393633;
Static;240;240;7;171;0.0442877;
Static;240;240;7;181;0.0473376;
Static;240;240;7;191;0.0467634;
Static;240;240;7;201;0.0515145;
Static;240;240;7;211;0.0528734;
Static;240;240;7;221;0.0542924;
Static;240;240;7;231;0.0597474;
Static;240;240;8;1;0.0140359;
Static;240;240;8;11;0.0140556;
Static;240;240;8;21;0.0156428;
Static;240;240;8;31;0.014463;
Static;240;240;8;41;0.019367;
Static;240;240;8;51;0.0132048;
Static;240;240;8;61;0.0149825;
Static;240;240;8;71;0.0189871;
Static;240;240;8;81;0.0203699;
Static;240;240;8;91;0.0227336;
Static;240;240;8;101;0.0250684;
Static;240;240;8;111;0.0280792;
Static;240;240;8;121;0.0324309;
Static;240;240;8;131;0.0340795;
Static;240;240;8;141;0.039396;
Static;240;240;8;151;0.0384451;
Static;240;240;8;161;0.0405755;
Static;240;240;8;171;0.0416141;
Static;240;240;8;181;0.0471708;
Static;240;240;8;191;0.0487533;
Static;240;240;8;201;0.049636;
Static;240;240;8;211;0.0586431;
Static;240;240;8;221;0.0575161;
Static;240;240;8;231;0.0642409;
Static;250;250;1;1;0.0666032;
Static;250;250;1;11;0.0667086;
Static;250;250;1;21;0.0672873;
Static;250;250;1;31;0.0673116;
Static;250;250;1;41;0.0660263;
Static;250;250;1;51;0.0666502;
Static;250;250;1;61;0.0668805;
Static;250;250;1;71;0.0670114;
Static;250;250;1;81;0.0670208;
Static;250;250;1;91;0.0668405;
Static;250;250;1;101;0.0667155;
Static;250;250;1;111;0.0672534;
Static;250;250;1;121;0.0686538;
Static;250;250;1;131;0.0704702;
Static;250;250;1;141;0.0669788;
Static;250;250;1;151;0.0670613;
Static;250;250;1;161;0.0663448;
Static;250;250;1;171;0.0712776;
Static;250;250;1;181;0.0718365;
Static;250;250;1;191;0.0730053;
Static;250;250;1;201;0.0743039;
Static;250;250;1;211;0.0702465;
Static;250;250;1;221;0.066608;
Static;250;250;1;231;0.0669122;
Static;250;250;1;241;0.0740783;
Static;250;250;2;1;0.0351288;
Static;250;250;2;11;0.0366033;
Static;250;250;2;21;0.0331051;
Static;250;250;2;31;0.0329324;
Static;250;250;2;41;0.0332322;
Static;250;250;2;51;0.0396977;
Static;250;250;2;61;0.0334862;
Static;250;250;2;71;0.0372287;
Static;250;250;2;81;0.0430393;
Static;250;250;2;91;0.0422567;
Static;250;250;2;101;0.0403965;
Static;250;250;2;111;0.0373697;
Static;250;250;2;121;0.0337689;
Static;250;250;2;131;0.0342506;
Static;250;250;2;141;0.0369237;
Static;250;250;2;151;0.0395693;
Static;250;250;2;161;0.0421589;
Static;250;250;2;171;0.0448182;
Static;250;250;2;181;0.047405;
Static;250;250;2;191;0.0499669;
Static;250;250;2;201;0.0526304;
Static;250;250;2;211;0.0552983;
Static;250;250;2;221;0.0578764;
Static;250;250;2;231;0.0604273;
Static;250;250;2;241;0.0635644;
Static;250;250;3;1;0.0221915;
Static;250;250;3;11;0.0235682;
Static;250;250;3;21;0.0219628;
Static;250;250;3;31;0.0246042;
Static;250;250;3;41;0.0224524;
Static;250;250;3;51;0.0266972;
Static;250;250;3;61;0.0330654;
Static;250;250;3;71;0.029257;
Static;250;250;3;81;0.023093;
Static;250;250;3;91;0.0239744;
Static;250;250;3;101;0.0265683;
Static;250;250;3;111;0.029116;
Static;250;250;3;121;0.0316854;
Static;250;250;3;131;0.034271;
Static;250;250;3;141;0.0368992;
